NO_OF_FRAMES	1669
NO_OF_CAMERAS	1
FREQUENCY	120
TIME_STAMP	Place Holder
REFERENCE	GLOBAL
SCALE	1.000
SOLVER	OpenSim IK
Frame	Time	pelvis	X	Y	Z	QX	QY	QZ	QW	head_neck	X	Y	Z	QX	QY	QZ	QW	torso	X	Y	Z	QX	QY	QZ	QW	sternumR	X	Y	Z	QX	QY	QZ	QW	sternumL	X	Y	Z	QX	QY	QZ	QW	clavicle_R	X	Y	Z	QX	QY	QZ	QW	scapula_R	X	Y	Z	QX	QY	QZ	QW	humerus_R	X	Y	Z	QX	QY	QZ	QW	ulna_R	X	Y	Z	QX	QY	QZ	QW	radius_R	X	Y	Z	QX	QY	QZ	QW	hand_R	X	Y	Z	QX	QY	QZ	QW	clavicle_L	X	Y	Z	QX	QY	QZ	QW	scapula_L	X	Y	Z	QX	QY	QZ	QW	humerus_L	X	Y	Z	QX	QY	QZ	QW	ulna_L	X	Y	Z	QX	QY	QZ	QW	radius_L	X	Y	Z	QX	QY	QZ	QW	hand_L	X	Y	Z	QX	QY	QZ	QW	femur_r	X	Y	Z	QX	QY	QZ	QW	tibia_r	X	Y	Z	QX	QY	QZ	QW	talus_r	X	Y	Z	QX	QY	QZ	QW	calcn_r	X	Y	Z	QX	QY	QZ	QW	toes_r	X	Y	Z	QX	QY	QZ	QW	femur_l	X	Y	Z	QX	QY	QZ	QW	tibia_l	X	Y	Z	QX	QY	QZ	QW	talus_l	X	Y	Z	QX	QY	QZ	QW	calcn_l	X	Y	Z	QX	QY	QZ	QW	toes_l	X	Y	Z	QX	QY	QZ	QW
1	0.00000		1056.885	-4996.804	1387.819	0.019856	0.045742	0.996948	-0.060074		1055.556	-4922.215	1887.829	0.010019	-0.241638	0.970305	-0.004406		1045.906	-4892.437	1419.318	0.003414	-0.072149	0.997385	-0.002442		1012.717	-5010.416	1780.292	0.003414	-0.072149	0.997385	-0.002442		1076.794	-5011.030	1780.379	0.003414	-0.072149	0.997385	-0.002442		1012.717	-5010.416	1780.292	0.012802	-0.071086	0.989171	0.127764		870.784	-4960.772	1810.535	0.000263	-0.072229	0.996329	-0.045946		859.582	-4946.131	1775.482	0.168399	-0.104855	0.956898	-0.212115		764.625	-4908.110	1499.357	0.051391	0.272889	0.921099	-0.272886		748.342	-4924.191	1494.630	0.051391	0.272889	0.921099	-0.272886		749.902	-5079.092	1302.161	0.051391	0.272889	0.921099	-0.272886		1076.794	-5011.030	1780.379	-0.006033	-0.071977	0.988534	-0.132606		1218.565	-4959.866	1808.789	0.006558	-0.071931	0.996542	0.041068		1209.169	-4943.485	1773.977	-0.180249	-0.162532	0.932473	0.267560		1319.705	-4881.470	1512.086	-0.053042	0.295170	0.891178	0.340387		1333.601	-4899.844	1508.728	-0.053042	0.295170	0.891178	0.340387		1315.270	-5062.417	1324.834	-0.053042	0.295170	0.891178	0.340387		949.593	-4944.791	1309.614	0.009706	-0.041820	0.982040	0.183726		949.902	-4902.371	874.355	0.057529	-0.014581	0.996788	0.053777		894.809	-4885.200	390.761	0.061631	0.010694	0.996428	0.056739		887.247	-4836.450	348.722	0.027540	0.005778	0.999138	0.030511		874.719	-5022.223	349.167	0.027540	0.005778	0.999138	0.030511		1141.587	-4921.960	1300.888	-0.000437	-0.003481	0.991600	-0.129298		1140.483	-4914.784	863.640	-0.031622	-0.049568	0.998259	-0.004602		1171.239	-4866.080	376.325	-0.041262	0.031786	0.998515	-0.015953		1181.201	-4819.768	332.087	-0.017402	0.027641	0.999461	0.003402		1180.959	-5000.847	340.095	-0.017402	0.027641	0.999461	0.003402
2	0.00833		1050.060	-4997.045	1398.002	0.004666	0.113171	0.993249	-0.025027		1049.849	-4921.494	1887.168	0.017275	-0.241387	0.970183	-0.013368		1045.042	-4888.896	1414.850	0.003949	-0.076250	0.997073	-0.004028		1011.819	-5008.660	1781.216	0.003949	-0.076250	0.997073	-0.004028		1076.580	-5012.026	1779.490	0.003949	-0.076250	0.997073	-0.004028		1011.819	-5008.660	1781.216	0.013868	-0.075082	0.989068	0.126151		869.754	-4959.724	1811.986	0.000619	-0.076349	0.995948	-0.047517		858.474	-4944.831	1777.065	0.166678	-0.102416	0.957817	-0.210512		764.819	-4907.818	1500.359	0.051145	0.273508	0.921611	-0.270576		748.476	-4923.833	1495.614	0.051145	0.273508	0.921611	-0.270576		749.769	-5078.926	1303.296	0.051145	0.273508	0.921611	-0.270576		1076.580	-5012.026	1779.490	-0.006037	-0.076113	0.988017	-0.134137		1218.211	-4960.641	1808.200	0.007272	-0.076005	0.996299	0.039470		1208.732	-4944.005	1773.532	-0.181238	-0.163264	0.932945	0.264787		1319.710	-4881.478	1511.950	-0.053820	0.299100	0.890433	0.338779		1333.643	-4899.846	1508.711	-0.053820	0.299100	0.890433	0.338779		1315.309	-5063.955	1326.187	-0.053820	0.299100	0.890433	0.338779		949.512	-4949.501	1308.769	0.009262	-0.047495	0.988068	0.146220		949.147	-4902.139	874.110	0.058016	-0.011874	0.994827	0.082538		893.884	-4885.969	390.501	0.063015	0.014267	0.994233	0.085592		888.997	-4837.309	347.964	-0.012557	0.005469	0.999538	0.027143		877.798	-5023.168	347.762	-0.012557	0.005469	0.999538	0.027143		1142.804	-4940.083	1305.879	-0.001495	-0.031001	0.980835	-0.192353		1137.032	-4908.751	870.111	-0.038748	-0.039888	0.996530	-0.061939		1172.503	-4867.384	382.439	-0.050762	0.028832	0.995765	-0.071017		1177.960	-4820.150	338.391	0.034499	0.018219	0.999235	-0.002763		1180.141	-5001.338	342.859	0.034499	0.018219	0.999235	-0.002763
3	0.01667		1049.469	-4997.196	1397.764	0.004606	0.113366	0.993233	-0.024809		1049.228	-4920.286	1886.870	0.016218	-0.242145	0.970026	-0.012324		1044.494	-4889.038	1414.570	0.004175	-0.076402	0.997065	-0.002410		1011.805	-5008.102	1782.158	0.004175	-0.076402	0.997065	-0.002410		1075.867	-5011.283	1779.805	0.004175	-0.076402	0.997065	-0.002410		1011.805	-5008.102	1782.158	0.014111	-0.075204	0.988850	0.127754		869.918	-4958.723	1813.042	0.000838	-0.076511	0.996011	-0.045901		858.662	-4943.783	1778.133	0.167201	-0.101920	0.958025	-0.209391		764.815	-4907.025	1501.458	0.051747	0.275009	0.921339	-0.269865		748.450	-4923.034	1496.765	0.051747	0.275009	0.921339	-0.269865		749.547	-5078.765	1304.963	0.051747	0.275009	0.921339	-0.269865		1075.867	-5011.283	1779.805	-0.005834	-0.076293	0.988221	-0.132533		1217.682	-4960.359	1808.431	0.007503	-0.076147	0.996221	0.041086		1208.231	-4943.682	1773.774	-0.183007	-0.161788	0.932719	0.265272		1319.981	-4882.294	1512.251	-0.055048	0.300667	0.889351	0.340034		1333.876	-4900.709	1509.116	-0.055048	0.300667	0.889351	0.340034		1315.510	-5065.527	1327.236	-0.055048	0.300667	0.889351	0.340034		948.957	-4949.644	1308.495	0.008926	-0.047216	0.988282	0.144876		948.774	-4902.568	873.800	0.057533	-0.011927	0.995162	0.078746		893.919	-4886.593	390.137	0.062025	0.012040	0.994664	0.081560		888.747	-4837.770	347.822	-0.014678	0.002878	0.999636	0.022473		879.304	-5023.723	346.656	-0.014678	0.002878	0.999636	0.022473		1142.253	-4940.308	1305.635	-0.002135	-0.032089	0.981208	-0.190256		1136.918	-4907.905	869.954	-0.039738	-0.039528	0.996634	-0.059822		1173.465	-4866.909	382.330	-0.051769	0.030215	0.995816	-0.068968		1179.221	-4819.804	338.182	0.033627	0.019318	0.999248	-0.000420		1180.565	-5000.989	343.079	0.033627	0.019318	0.999248	-0.000420
4	0.02500		1048.692	-4997.478	1397.599	0.004596	0.113904	0.993190	-0.024031		1048.520	-4919.366	1886.312	0.015929	-0.242081	0.970068	-0.010547		1043.879	-4889.294	1414.286	0.004668	-0.075911	0.997103	-0.000677		1011.362	-5007.639	1782.975	0.004668	-0.075911	0.997103	-0.000677		1075.241	-5010.583	1780.344	0.004668	-0.075911	0.997103	-0.000677		1011.362	-5007.639	1782.975	0.014536	-0.074652	0.988661	0.129477		869.681	-4957.750	1813.985	0.001352	-0.076042	0.996125	-0.044171		858.431	-4942.808	1779.076	0.167295	-0.101273	0.958233	-0.208674		764.633	-4906.366	1502.342	0.051831	0.276556	0.921021	-0.269352		748.263	-4922.379	1497.683	0.051831	0.276556	0.921021	-0.269352		749.435	-5078.709	1306.370	0.051831	0.276556	0.921021	-0.269352		1075.241	-5010.583	1780.344	-0.005280	-0.075871	0.988485	-0.130820		1217.262	-4960.110	1808.742	0.007975	-0.075635	0.996184	0.042818		1207.825	-4943.436	1774.081	-0.184402	-0.160414	0.932464	0.266033		1320.177	-4883.098	1512.571	-0.055896	0.301877	0.888389	0.341337		1334.030	-4901.558	1509.516	-0.055896	0.301877	0.888389	0.341337		1315.522	-5066.904	1328.129	-0.055896	0.301877	0.888389	0.341337		948.273	-4949.868	1308.256	0.008616	-0.047145	0.988456	0.143731		948.288	-4902.892	873.548	0.057142	-0.011844	0.995480	0.074924		893.744	-4887.237	389.840	0.061008	0.009212	0.995089	0.077408		888.283	-4838.204	347.805	-0.017077	-0.000351	0.999700	0.017570		880.693	-5024.230	345.443	-0.017077	-0.000351	0.999700	0.017570		1141.584	-4940.832	1305.430	-0.002888	-0.032774	0.981572	-0.188240		1136.856	-4907.699	869.799	-0.040528	-0.039862	0.996711	-0.057760		1174.240	-4866.409	382.264	-0.052550	0.030696	0.995898	-0.066955		1180.262	-4819.356	338.096	0.032774	0.019572	0.999270	0.001597		1180.876	-5000.542	343.111	0.032774	0.019572	0.999270	0.001597
5	0.03333		1047.886	-4997.927	1397.339	0.004569	0.114106	0.993172	-0.023824		1047.596	-4918.676	1885.661	0.015831	-0.241272	0.970276	-0.010058		1043.115	-4889.734	1413.981	0.004648	-0.075032	0.997170	-0.000252		1011.092	-5006.608	1783.958	0.004648	-0.075032	0.997170	-0.000252		1075.069	-5010.442	1780.849	0.004648	-0.075032	0.997170	-0.000252		1011.092	-5006.608	1783.958	0.014402	-0.073783	0.988672	0.129908		869.454	-4956.544	1814.884	0.001370	-0.075163	0.996210	-0.043749		858.216	-4941.654	1779.948	0.167391	-0.100265	0.958410	-0.208275		764.495	-4905.760	1503.117	0.051994	0.277836	0.920707	-0.269075		748.122	-4921.781	1498.492	0.051994	0.277836	0.920707	-0.269075		749.345	-5078.617	1307.594	0.051994	0.277836	0.920707	-0.269075		1075.069	-5010.442	1780.849	-0.005186	-0.074996	0.988606	-0.130407		1217.133	-4960.038	1809.155	0.007916	-0.074757	0.996232	0.043246		1207.710	-4943.418	1774.464	-0.185127	-0.159212	0.932504	0.266111		1320.286	-4883.853	1512.874	-0.056465	0.303115	0.887778	0.341734		1334.123	-4902.335	1509.880	-0.056465	0.303115	0.887778	0.341734		1315.549	-5068.191	1328.966	-0.056465	0.303115	0.887778	0.341734		947.496	-4950.313	1307.965	0.007915	-0.047089	0.988498	0.143500		948.097	-4903.474	873.241	0.056387	-0.011946	0.995575	0.074214		894.279	-4887.813	389.451	0.060137	0.008553	0.995206	0.076648		888.824	-4838.734	347.469	-0.018257	-0.001050	0.999694	0.016638		881.590	-5024.771	344.843	-0.018257	-0.001050	0.999694	0.016638		1140.811	-4941.356	1305.156	-0.003633	-0.033149	0.981610	-0.187962		1136.670	-4907.779	869.554	-0.041205	-0.040357	0.996680	-0.057462		1174.699	-4865.980	382.111	-0.053238	0.030378	0.995893	-0.066627		1180.808	-4818.897	337.987	0.032031	0.019192	0.999301	0.001825		1181.332	-5000.086	342.869	0.032031	0.019192	0.999301	0.001825
6	0.04167		1046.745	-4998.148	1397.490	0.004912	0.116349	0.992971	-0.021137		1047.211	-4917.759	1885.276	0.016402	-0.241649	0.970209	-0.005634		1042.557	-4889.857	1413.641	0.006064	-0.074701	0.997185	0.002304		1010.524	-5006.656	1784.055	0.006064	-0.074701	0.997185	0.002304		1073.644	-5009.541	1781.272	0.006064	-0.074701	0.997185	0.002304		1010.524	-5006.656	1784.055	0.015762	-0.073271	0.988353	0.132444		869.233	-4955.880	1815.400	0.002799	-0.074895	0.996336	-0.041196		857.956	-4940.959	1780.490	0.168109	-0.100308	0.958006	-0.209529		763.784	-4905.240	1503.789	0.051448	0.279735	0.919675	-0.270738		747.482	-4921.345	1499.206	0.051448	0.279735	0.919675	-0.270738		749.542	-5078.861	1308.875	0.051448	0.279735	0.919675	-0.270738		1073.644	-5009.541	1781.272	-0.003739	-0.074854	0.988955	-0.127874		1216.042	-4959.812	1809.087	0.009316	-0.074366	0.996135	0.045800		1206.589	-4943.169	1774.415	-0.187700	-0.158387	0.931956	0.266721		1320.457	-4884.549	1513.171	-0.058221	0.304255	0.886586	0.343517		1334.248	-4903.084	1510.295	-0.058221	0.304255	0.886586	0.343517		1315.810	-5069.560	1329.938	-0.058221	0.304255	0.886586	0.343517		946.615	-4950.402	1307.896	0.007569	-0.048073	0.988443	0.143567		947.648	-4902.741	873.286	0.056445	-0.010522	0.995902	0.069878		893.609	-4888.692	389.472	0.059044	0.004045	0.995675	0.071612		887.800	-4839.274	347.937	-0.021115	-0.006060	0.999701	0.010779		882.800	-5025.349	343.469	-0.021115	-0.006060	0.999701	0.010779		1139.976	-4942.499	1305.056	-0.004359	-0.034121	0.982132	-0.185025		1136.414	-4907.950	869.527	-0.041911	-0.041005	0.996793	-0.054452		1175.223	-4865.596	382.194	-0.053929	0.030919	0.996030	-0.063717		1181.677	-4818.580	338.049	0.029693	0.019648	0.999360	0.003484		1181.599	-4999.765	343.117	0.029693	0.019648	0.999360	0.003484
7	0.05000		1046.303	-4998.542	1397.320	0.004979	0.116756	0.992935	-0.020575		1046.607	-4916.940	1884.771	0.015835	-0.241224	0.970331	-0.004306		1042.235	-4890.233	1413.381	0.005681	-0.074214	0.997221	0.003249		1009.799	-5005.868	1784.810	0.005681	-0.074214	0.997221	0.003249		1073.270	-5009.180	1781.482	0.005681	-0.074214	0.997221	0.003249		1009.799	-5005.868	1784.810	0.015319	-0.072838	0.988265	0.133385		868.586	-4954.788	1816.017	0.002438	-0.074391	0.996413	-0.040254		857.360	-4939.879	1781.085	0.167947	-0.099070	0.958270	-0.209040		763.438	-4904.796	1504.218	0.051185	0.281935	0.919130	-0.270357		747.144	-4920.919	1499.674	0.051185	0.281935	0.919130	-0.270357		749.547	-5079.243	1310.018	0.051185	0.281935	0.919130	-0.270357		1073.270	-5009.180	1781.482	-0.004054	-0.074321	0.989114	-0.126942		1215.747	-4959.699	1809.337	0.008913	-0.073896	0.996130	0.046746		1206.347	-4943.072	1774.643	-0.188766	-0.157491	0.931698	0.267400		1320.700	-4885.186	1513.446	-0.058667	0.305480	0.885699	0.344641		1334.447	-4903.764	1510.634	-0.058667	0.305480	0.885699	0.344641		1315.730	-5070.714	1330.745	-0.058667	0.305480	0.885699	0.344641		946.228	-4950.756	1307.685	0.007463	-0.047851	0.988567	0.142794		947.281	-4903.302	873.046	0.056196	-0.010761	0.996076	0.067520		893.466	-4889.165	389.210	0.058522	0.002450	0.995889	0.069097		887.470	-4839.635	347.836	-0.022404	-0.007905	0.999687	0.007864		883.579	-5025.720	342.697	-0.022404	-0.007905	0.999687	0.007864		1139.597	-4943.073	1304.841	-0.004722	-0.035238	0.982389	-0.183431		1136.225	-4907.486	869.406	-0.042558	-0.040796	0.996862	-0.052836		1175.746	-4865.367	382.110	-0.054594	0.032001	0.996058	-0.062168		1182.417	-4818.455	337.886	0.029021	0.020537	0.999354	0.005172		1181.734	-4999.629	343.294	0.029021	0.020537	0.999354	0.005172
8	0.05833		1045.595	-4998.889	1397.229	0.005154	0.117481	0.992870	-0.019513		1045.955	-4916.201	1884.346	0.016144	-0.240715	0.970459	-0.002275		1041.761	-4890.548	1413.131	0.005902	-0.073694	0.997254	0.004234		1009.079	-5005.119	1785.089	0.005902	-0.073694	0.997254	0.004234		1072.651	-5008.858	1781.771	0.005902	-0.073694	0.997254	0.004234		1009.079	-5005.119	1785.089	0.015471	-0.072293	0.988170	0.134366		867.983	-4953.735	1816.325	0.002682	-0.073881	0.996490	-0.039272		856.765	-4938.842	1781.384	0.168032	-0.097987	0.958365	-0.209045		762.921	-4904.381	1504.413	0.050751	0.284515	0.918291	-0.270587		746.658	-4920.549	1499.916	0.050751	0.284515	0.918291	-0.270587		749.655	-5079.807	1311.053	0.050751	0.284515	0.918291	-0.270587		1072.651	-5008.858	1781.771	-0.003767	-0.073834	0.989275	-0.125971		1215.240	-4959.622	1809.490	0.009111	-0.073366	0.996121	0.047731		1205.851	-4943.014	1774.783	-0.190086	-0.156656	0.931564	0.267421		1320.790	-4885.802	1513.696	-0.059675	0.306614	0.884981	0.345304		1334.519	-4904.404	1510.961	-0.059675	0.306614	0.884981	0.345304		1315.872	-5071.882	1331.556	-0.059675	0.306614	0.884981	0.345304		945.617	-4951.021	1307.530	0.007185	-0.048024	0.988628	0.142328		946.908	-4903.449	872.908	0.055942	-0.010555	0.996237	0.065352		893.294	-4889.646	389.040	0.058008	0.001325	0.996080	0.066774		887.123	-4840.042	347.780	-0.023623	-0.009266	0.999665	0.005132		884.270	-5026.132	342.152	-0.023623	-0.009266	0.999665	0.005132		1139.002	-4943.756	1304.662	-0.005222	-0.036016	0.982646	-0.181883		1135.995	-4907.407	869.294	-0.043177	-0.040897	0.996913	-0.051257		1176.181	-4865.221	382.058	-0.055189	0.032490	0.996104	-0.060619		1183.058	-4818.362	337.808	0.028204	0.020877	0.999362	0.006606		1181.856	-4999.530	343.355	0.028204	0.020877	0.999362	0.006606
9	0.06667		1045.044	-4999.288	1397.115	0.005156	0.117767	0.992839	-0.019395		1045.070	-4915.676	1883.846	0.015891	-0.239773	0.970696	-0.002128		1041.234	-4890.937	1412.954	0.005627	-0.072732	0.997326	0.004300		1008.520	-5004.294	1785.733	0.005627	-0.072732	0.997326	0.004300		1072.392	-5008.716	1782.095	0.005627	-0.072732	0.997326	0.004300		1008.520	-5004.294	1785.733	0.015073	-0.071375	0.988233	0.134441		867.417	-4952.827	1816.795	0.002449	-0.072908	0.996565	-0.039208		856.219	-4938.000	1781.819	0.167891	-0.096682	0.958532	-0.209003		762.606	-4904.253	1504.682	0.050519	0.286180	0.917793	-0.270564		746.357	-4920.444	1500.216	0.050519	0.286180	0.917793	-0.270564		749.682	-5080.307	1311.871	0.050519	0.286180	0.917793	-0.270564		1072.392	-5008.716	1782.095	-0.003914	-0.072844	0.989355	-0.125914		1214.974	-4959.450	1809.794	0.008795	-0.072417	0.996190	0.047801		1205.607	-4942.907	1775.051	-0.190910	-0.155603	0.931660	0.267115		1320.817	-4886.364	1513.937	-0.060516	0.307718	0.884497	0.345416		1334.545	-4904.976	1511.266	-0.060516	0.307718	0.884497	0.345416		1316.026	-5072.957	1332.318	-0.060516	0.307718	0.884497	0.345416		945.079	-4951.449	1307.385	0.006801	-0.048033	0.988632	0.142313		946.701	-4903.919	872.758	0.055514	-0.010730	0.996268	0.065210		893.511	-4889.980	388.846	0.057550	0.000984	0.996117	0.066617		887.366	-4840.351	347.612	-0.024164	-0.009598	0.999650	0.004948		884.588	-5026.438	341.861	-0.024164	-0.009598	0.999650	0.004948		1138.466	-4944.231	1304.520	-0.005639	-0.036153	0.982650	-0.181825		1135.798	-4907.699	869.163	-0.043544	-0.041168	0.996890	-0.051189		1176.332	-4865.234	381.980	-0.055562	0.032271	0.996096	-0.060528		1183.246	-4818.354	337.759	0.027775	0.020638	0.999379	0.006616		1182.037	-4999.524	343.219	0.027775	0.020638	0.999379	0.006616
10	0.07500		1044.556	-4999.576	1397.033	0.005377	0.118411	0.992787	-0.018017		1044.423	-4915.032	1883.582	0.016469	-0.239268	0.970814	0.000326		1041.049	-4891.195	1412.730	0.006039	-0.072375	0.997344	0.005419		1007.153	-5003.330	1785.453	0.006039	-0.072375	0.997344	0.005419		1071.932	-5008.515	1782.444	0.006039	-0.072375	0.997344	0.005419		1007.153	-5003.330	1785.453	0.015435	-0.070968	0.988105	0.135553		866.192	-4951.534	1816.616	0.002876	-0.072570	0.996632	-0.038091		854.992	-4936.708	1781.641	0.167707	-0.095136	0.958661	-0.209268		761.650	-4903.831	1504.308	0.049332	0.290398	0.916384	-0.271065		745.464	-4920.103	1499.904	0.049332	0.290398	0.916384	-0.271065		749.993	-5081.430	1312.836	0.049332	0.290398	0.916384	-0.271065		1071.932	-5008.515	1782.444	-0.003459	-0.072544	0.989519	-0.124807		1214.647	-4959.538	1809.967	0.009191	-0.072043	0.996159	0.048919		1205.282	-4943.000	1775.221	-0.191791	-0.155064	0.931543	0.267205		1320.889	-4886.906	1514.186	-0.061068	0.308702	0.883908	0.345948		1334.599	-4905.540	1511.570	-0.061068	0.308702	0.883908	0.345948		1316.013	-5073.932	1333.016	-0.061068	0.308702	0.883908	0.345948		944.716	-4951.578	1307.249	0.006672	-0.048211	0.988611	0.142410		946.479	-4903.907	872.643	0.055485	-0.010349	0.996343	0.064154		893.278	-4890.396	388.721	0.057354	0.000475	0.996206	0.065455		887.040	-4840.735	347.539	-0.024796	-0.010241	0.999634	0.003513		884.807	-5026.822	341.559	-0.024796	-0.010241	0.999634	0.003513		1138.122	-4944.900	1304.357	-0.005816	-0.037037	0.982903	-0.180268		1135.528	-4907.564	869.077	-0.043922	-0.041041	0.996958	-0.049607		1176.504	-4865.270	381.916	-0.055992	0.033490	0.996120	-0.059058		1183.609	-4818.510	337.599	0.026928	0.021744	0.999370	0.007915		1181.937	-4999.663	343.472	0.026928	0.021744	0.999370	0.007915
