time,pelvic_tilt,pelvic_list,pelvic_rotation,pelvic_tx,pelvic_ty,pelvic_tz,lumbar_extension,lumbar_bending,lumbar_rotation,neck_flex,neck_tilt,neck_rot,neck_tx1,neck_ty1,neck_tz1,SternumRRotZ,SternumRRotX,SternumRRotY,SternumRX,SternumRY,SternumRZ,SternumLRotZ,SternumLRotX,SternumLRotY,SternumLX,SternumLY,SternumLZ,shoulder_add_r,shoulder_flex_r,shoulder_rot_r,elbow_flexion_r,elbow_varus_valg_r,pro_sup_r,wrist_dev_r,wrist_flex_r,shoulder_add_l,shoulder_flex_l,shoulder_rot_l,elbow_flexion_l,elbow_varus_valg_l,pro_sup_l,wrist_dev_l,wrist_flex_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_rotation_r,knee_adduction_r,knee_tz_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_rotation_l,knee_adduction_l,knee_tz_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l
8.16666667,-0.55232824,-13.35111379,-85.66610276,0,0,0,-25.27407174,2.84498722,-2.61796165,-23.0680918,-3.6972502,0.81136424,-0.03524977,0.01356362,-0.00168026,0.0,0.0,0.0,-0.00291744,-0.02004305,-0.00356232,0.0,0.0,0.0,-0.01742553,-0.02855231,0.00921106,-19.33066814,5.97951321,19.37056102,26.98628424,0.0,0.0,0.0,0.0,20.09054501,6.73950103,-34.93390965,23.49433768,0.0,0.0,0.0,0.0,-13.84766013,1.86042771,-3.77883735,-4.32051561,-2.81036505,-4.98473282,0.0,3.78290671,3.20848655,0.0,-12.36393199,-3.33364681,-9.8114972,-9.29031582,6.4053598,-4.98473282,0.0,11.77470897,8.80560283,0.0
8.175,-0.52255187,-13.33803984,-85.66637234,0,0,0,-25.27776621,2.84138375,-2.61793412,-23.06770854,-3.69732129,0.81117715,-0.03516952,0.01369649,-0.00167697,0.0,0.0,0.0,-0.00264068,-0.02020016,-0.00352291,0.0,0.0,0.0,-0.01765706,-0.02864438,0.00946036,-19.33416659,5.98125848,19.36868226,26.98515785,0.0,0.0,0.0,0.0,20.08200674,6.73459451,-34.93789979,23.49870277,0.0,0.0,0.0,0.0,-13.84681519,1.86840425,-3.78005894,-4.31834802,-2.80841414,-4.98473282,0.0,3.7852337,3.20983593,0.0,-12.36774616,-3.3517173,-9.80870701,-9.29167409,6.39972075,-4.98473282,0.0,11.77519025,8.80412827,0.0
8.18333333,-0.4950303,-13.31925398,-85.67181093,0,0,0,-25.27368788,2.80415629,-2.63259711,-23.06676309,-3.70070679,0.81085447,-0.03519141,0.01383374,-0.00182105,0.0,0.0,0.0,-0.00241626,-0.02064108,-0.00393035,0.0,0.0,0.0,-0.01792669,-0.02854519,0.00918226,-19.34141702,5.97216763,19.36135714,26.97768879,0.0,0.0,0.0,0.0,20.0714567,6.72593943,-34.94808764,23.51419395,0.0,0.0,0.0,0.0,-13.85638708,1.90020708,-3.78562097,-4.29905914,-2.80235304,-4.98473282,0.0,3.80810105,3.2101829,0.0,-12.36319484,-3.38587697,-9.80061516,-9.2974337,6.381196,-4.98473282,0.0,11.76957343,8.80150603,0.0
8.19166667,-0.47028697,-13.3058467,-85.67460667,0,0,0,-25.27803567,2.81016647,-2.6311876,-23.06729481,-3.69945983,0.81000855,-0.03508901,0.01386657,-0.00167217,0.0,0.0,0.0,-0.00217331,-0.02072668,-0.00381347,0.0,0.0,0.0,-0.01805268,-0.02853818,0.00938215,-19.34462425,5.97471834,19.35989915,26.97764343,0.0,0.0,0.0,0.0,20.06645059,6.72272138,-34.94987062,23.51583883,0.0,0.0,0.0,0.0,-13.85928866,1.90731167,-3.78637435,-4.29635061,-2.80158629,-4.98473282,0.0,3.81188645,3.21000048,0.0,-12.36441294,-3.39600185,-9.7999779,-9.29883587,6.3782946,-4.98473282,0.0,11.76863684,8.80079392,0.0
8.2,-0.33823577,-12.4411197,-84.61808313,0,0,0,-24.27687252,2.91112731,-3.48778637,-23.13329235,-3.48566934,0.74582973,-0.03434556,0.01351598,-0.00109813,0.0,0.0,0.0,-0.00093765,-0.02183016,-0.00345396,0.0,0.0,0.0,-0.01624716,-0.02881514,0.0099985,-19.04476408,5.40625341,18.29356945,27.55959777,0.0,0.0,0.0,0.0,20.32640544,6.19842064,-34.91114024,24.2971917,0.0,0.0,0.0,0.0,-13.20111851,1.92324997,-6.53051147,-3.9489557,-1.48696413,-4.98473282,0.0,4.34412634,3.8332936,0.0,-10.83500025,-3.29747883,-6.30137867,-10.13350022,3.57136638,-4.98473282,0.0,12.21444674,9.57655057,0.0
8.20833333,-0.31662209,-12.42643126,-84.62100801,0,0,0,-24.28385213,2.91726181,-3.48676444,-23.13361081,-3.48598522,0.74538234,-0.03428705,0.01358449,-0.00107016,0.0,0.0,0.0,-0.00075873,-0.02196016,-0.00334554,0.0,0.0,0.0,-0.01631703,-0.02879544,0.01015317,-19.04704192,5.4082967,18.29339276,27.55891045,0.0,0.0,0.0,0.0,20.32174749,6.19529846,-34.91242729,24.29624625,0.0,0.0,0.0,0.0,-13.20489371,1.92838693,-6.53085751,-3.94894859,-1.48702395,-4.98473282,0.0,4.3449714,3.83288323,0.0,-10.83521551,-3.3061181,-6.30142599,-10.1330429,3.56996516,-4.98473282,0.0,12.21371749,9.5759957,0.0
8.21666667,-0.29910902,-12.4010805,-84.62568976,0,0,0,-24.2979415,2.89310343,-3.49374184,-23.13472769,-3.49638211,0.74338104,-0.03459445,0.01378751,-0.00134051,0.0,0.0,0.0,-0.00070326,-0.02225973,-0.00366941,0.0,0.0,0.0,-0.01641631,-0.02870479,0.00980551,-19.05450068,5.41516506,18.29327566,27.55870936,0.0,0.0,0.0,0.0,20.30108512,6.16947361,-34.92140149,24.28295027,0.0,0.0,0.0,0.0,-13.21288833,1.96077229,-6.5362856,-3.9173131,-1.489442,-4.98473282,0.0,4.36864138,3.82308219,0.0,-10.82476415,-3.33636345,-6.30022398,-10.12479967,3.56333772,-4.98473282,0.0,12.20043667,9.57567196,0.0
8.225,-0.28340018,-12.38617872,-84.62777023,0,0,0,-24.30369598,2.8972238,-3.492248,-23.13581142,-3.49596189,0.74245605,-0.03447455,0.01382656,-0.00121961,0.0,0.0,0.0,-0.00055606,-0.02228363,-0.00352117,0.0,0.0,0.0,-0.01653252,-0.02875266,0.0099317,-19.05846477,5.4191971,18.29258165,27.55986841,0.0,0.0,0.0,0.0,20.29577256,6.16482078,-34.92290746,24.2814781,0.0,0.0,0.0,0.0,-13.21889181,1.96618694,-6.5373104,-3.91577326,-1.49000369,-4.98473282,0.0,4.37190811,3.82183885,0.0,-10.82391921,-3.34444211,-6.30012151,-10.12383151,3.56221207,-4.98473282,0.0,12.19892106,9.57523852,0.0
8.23333333,-0.32217232,-12.33088815,-84.61776577,0,0,0,-24.2494173,2.88679355,-3.48205305,-23.16200201,-3.52670598,0.72941471,-0.03448114,0.01405798,-0.00066527,0.0,0.0,0.0,-0.00127974,-0.02293754,-0.00358078,0.0,0.0,0.0,-0.01631816,-0.02838481,0.00947092,-19.08546258,5.49018175,18.30341496,27.62486594,0.0,0.0,0.0,0.0,20.21673539,6.08573554,-34.9472649,24.22559507,0.0,0.0,0.0,0.0,-13.27959407,2.07142904,-6.58490903,-3.71856645,-1.51540089,-4.98473282,0.0,4.54505719,3.75274058,0.0,-10.79419051,-3.42741296,-6.2919663,-10.08506768,3.5464483,-4.98473282,0.0,12.11931156,9.57648037,0.0
8.24166667,-0.30691998,-12.31296277,-84.6181458,0,0,0,-24.25494949,2.89167302,-3.48031383,-23.16319464,-3.52706478,0.72922846,-0.0344034,0.01407122,-0.00064528,0.0,0.0,0.0,-0.00122677,-0.02289063,-0.00346325,0.0,0.0,0.0,-0.01642254,-0.02845848,0.00953806,-19.08768748,5.48994588,18.30367612,27.62500389,0.0,0.0,0.0,0.0,20.21456985,6.08272559,-34.94770443,24.22421413,0.0,0.0,0.0,0.0,-13.28582909,2.07581889,-6.58581681,-3.71993119,-1.51551919,-4.98473282,0.0,4.54619528,3.75229612,0.0,-10.79618967,-3.4352267,-6.29198864,-10.08515103,3.54534355,-4.98473282,0.0,12.11880384,9.57565908,0.0
