NO_OF_FRAMES	1227
NO_OF_CAMERAS	1
FREQUENCY	120
TIME_STAMP	Place Holder
REFERENCE	GLOBAL
SCALE	1.000
SOLVER	OpenSim IK
Frame	Time	pelvis	X	Y	Z	QX	QY	QZ	QW	head_neck	X	Y	Z	QX	QY	QZ	QW	torso	X	Y	Z	QX	QY	QZ	QW	sternumR	X	Y	Z	QX	QY	QZ	QW	sternumL	X	Y	Z	QX	QY	QZ	QW	clavicle_R	X	Y	Z	QX	QY	QZ	QW	scapula_R	X	Y	Z	QX	QY	QZ	QW	humerus_R	X	Y	Z	QX	QY	QZ	QW	ulna_R	X	Y	Z	QX	QY	QZ	QW	radius_R	X	Y	Z	QX	QY	QZ	QW	hand_R	X	Y	Z	QX	QY	QZ	QW	clavicle_L	X	Y	Z	QX	QY	QZ	QW	scapula_L	X	Y	Z	QX	QY	QZ	QW	humerus_L	X	Y	Z	QX	QY	QZ	QW	ulna_L	X	Y	Z	QX	QY	QZ	QW	radius_L	X	Y	Z	QX	QY	QZ	QW	hand_L	X	Y	Z	QX	QY	QZ	QW	femur_r	X	Y	Z	QX	QY	QZ	QW	tibia_r	X	Y	Z	QX	QY	QZ	QW	talus_r	X	Y	Z	QX	QY	QZ	QW	calcn_r	X	Y	Z	QX	QY	QZ	QW	toes_r	X	Y	Z	QX	QY	QZ	QW	femur_l	X	Y	Z	QX	QY	QZ	QW	tibia_l	X	Y	Z	QX	QY	QZ	QW	talus_l	X	Y	Z	QX	QY	QZ	QW	calcn_l	X	Y	Z	QX	QY	QZ	QW	toes_l	X	Y	Z	QX	QY	QZ	QW
1	0.00000		1211.779	-4952.557	1364.929	0.028738	0.028428	0.996943	-0.066866		1180.934	-4924.103	1873.443	0.012421	-0.402417	0.915348	0.006567		1200.065	-4848.087	1400.406	-0.034835	-0.122268	0.991878	-0.003932		1139.822	-5007.752	1754.745	-0.034835	-0.122268	0.991878	-0.003932		1210.624	-4989.232	1739.972	-0.034835	-0.122268	0.991878	-0.003932		1139.822	-5007.752	1754.745	-0.018577	-0.125769	0.983905	0.125568		993.792	-4959.996	1778.707	-0.040135	-0.120632	0.990762	-0.047195		985.119	-4942.035	1744.891	0.141996	-0.125148	0.949934	-0.248598		900.641	-4891.796	1467.534	0.046311	0.157712	0.943406	-0.288041		883.621	-4907.033	1460.021	0.046311	0.157712	0.943406	-0.288041		873.347	-5017.304	1231.169	0.046311	0.157712	0.943406	-0.288041		1210.624	-4989.232	1739.972	-0.050496	-0.116675	0.982879	-0.133365		1351.939	-4941.683	1784.116	-0.029468	-0.123671	0.991105	0.039339		1345.028	-4922.003	1750.856	-0.153137	-0.183168	0.913558	0.329257		1448.873	-4850.415	1489.082	-0.069271	0.072187	0.923744	0.369713		1463.826	-4866.319	1481.452	-0.069271	0.072187	0.923744	0.369713		1487.382	-4940.868	1249.806	-0.069271	0.072187	0.923744	0.369713		1101.381	-4898.472	1290.107	-0.091439	0.003474	0.995766	0.008791		1181.096	-4898.478	859.894	-0.047985	-0.071088	0.996290	0.007049		1227.923	-4830.153	382.352	-0.042701	-0.030148	0.998504	0.016048		1225.092	-4778.754	342.966	-0.082484	-0.034179	0.995923	-0.012891		1230.000	-4958.695	328.892	-0.082484	-0.034179	0.995923	-0.012891		1294.383	-4872.784	1278.188	-0.046650	0.087723	0.993585	-0.054019		1338.904	-4945.209	849.233	-0.078610	-0.068477	0.994340	-0.020481		1416.641	-4874.624	353.889	-0.079187	-0.064299	0.994565	-0.020858		1428.430	-4820.548	320.157	-0.028953	-0.073402	0.996809	0.012070		1426.112	-4995.031	292.284	-0.028953	-0.073402	0.996809	0.012070
2	0.00833		1212.130	-4951.831	1366.280	0.027489	0.033503	0.996756	-0.067824		1180.181	-4923.389	1874.166	0.013011	-0.405034	0.914199	0.004339		1200.067	-4847.042	1400.684	-0.035896	-0.124751	0.991518	-0.006329		1139.402	-5009.856	1753.795	-0.035896	-0.124751	0.991518	-0.006329		1212.686	-4990.353	1740.605	-0.035896	-0.124751	0.991518	-0.006329		1139.402	-5009.856	1753.795	-0.019305	-0.128369	0.983862	0.123145		993.086	-4962.899	1777.592	-0.041303	-0.123067	0.990298	-0.049574		984.420	-4944.814	1743.841	0.139174	-0.132463	0.954081	-0.229814		901.599	-4888.709	1467.109	0.044248	0.166710	0.947117	-0.270590		884.187	-4903.490	1459.583	0.044248	0.166710	0.947117	-0.270590		873.557	-5017.113	1232.392	0.044248	0.166710	0.947117	-0.270590		1212.686	-4990.353	1740.605	-0.051872	-0.118998	0.982210	-0.135694		1353.658	-4942.360	1785.361	-0.030420	-0.126198	0.990851	0.036928		1346.745	-4922.551	1752.179	-0.150911	-0.184727	0.916922	0.319932		1448.924	-4848.787	1490.354	-0.068935	0.073698	0.927315	0.360422		1464.159	-4864.422	1482.722	-0.068935	0.073698	0.927315	0.360422		1488.347	-4939.272	1251.238	-0.068935	0.073698	0.927315	0.360422		1101.842	-4898.745	1290.585	-0.090873	0.004413	0.995835	0.005940		1181.052	-4899.323	860.283	-0.045541	-0.072496	0.995926	0.028300		1227.006	-4830.584	382.715	-0.038320	-0.024730	0.998211	0.038663		1226.095	-4779.446	342.901	-0.105828	-0.030280	0.993863	-0.010927		1230.531	-4959.505	330.252	-0.105828	-0.030280	0.993863	-0.010927		1294.821	-4872.730	1279.009	-0.046944	0.086441	0.993637	-0.054868		1339.585	-4943.894	849.916	-0.079668	-0.066406	0.994134	-0.030688		1417.729	-4874.564	354.458	-0.080139	-0.063230	0.994294	-0.030972		1428.555	-4820.387	320.566	-0.017949	-0.073897	0.997056	0.009827		1426.701	-4994.852	292.549	-0.017949	-0.073897	0.997056	0.009827
3	0.01667		1209.788	-4952.093	1376.719	0.012720	0.091190	0.994018	-0.058740		1179.479	-4922.768	1874.824	0.013130	-0.407310	0.913193	0.002067		1198.110	-4843.940	1398.549	-0.033483	-0.127896	0.991154	-0.011646		1140.750	-5005.837	1753.439	-0.033483	-0.127896	0.991154	-0.011646		1213.179	-4992.151	1741.450	-0.033483	-0.127896	0.991154	-0.011646		1140.750	-5005.837	1753.439	-0.016503	-0.131173	0.984194	0.117825		993.995	-4960.690	1778.018	-0.039030	-0.126314	0.989702	-0.054870		985.006	-4942.506	1744.404	0.140213	-0.129283	0.953116	-0.234940		901.716	-4888.694	1467.358	0.045286	0.164635	0.946050	-0.275379		884.404	-4903.607	1459.864	0.045286	0.164635	0.946050	-0.275379		873.720	-5016.546	1232.335	0.045286	0.164635	0.946050	-0.275379		1213.179	-4992.151	1741.450	-0.049891	-0.122432	0.981154	-0.140918		1353.752	-4942.821	1786.005	-0.027872	-0.129235	0.990718	0.031600		1346.498	-4922.896	1752.965	-0.151736	-0.188140	0.915013	0.323003		1449.954	-4847.838	1492.011	-0.068476	0.071004	0.926262	0.363741		1465.098	-4863.530	1484.317	-0.068476	0.071004	0.926262	0.363741		1489.195	-4937.235	1252.457	-0.068476	0.071004	0.926262	0.363741		1103.214	-4906.706	1291.319	-0.088442	-0.007391	0.995665	0.027832		1180.651	-4898.456	860.839	-0.046375	-0.070581	0.996133	0.024217		1227.088	-4831.392	383.080	-0.039732	-0.025272	0.998309	0.034100		1225.834	-4780.239	343.294	-0.100073	-0.030447	0.994462	-0.010188		1229.925	-4960.299	330.536	-0.100073	-0.030447	0.994462	-0.010188		1296.873	-4884.379	1284.297	-0.046065	0.068591	0.993760	-0.074925		1341.028	-4938.594	852.979	-0.076587	-0.060938	0.994812	-0.027733		1416.475	-4875.051	356.329	-0.075257	-0.070119	0.994333	-0.026876		1427.292	-4820.472	323.085	-0.028147	-0.078209	0.996533	0.003629		1427.970	-4994.706	293.616	-0.028147	-0.078209	0.996533	0.003629
4	0.02500		1209.943	-4951.977	1376.909	0.012700	0.091235	0.994007	-0.058860		1179.269	-4922.186	1874.960	0.012665	-0.408406	0.912712	0.000734		1198.239	-4843.825	1398.729	-0.034059	-0.128340	0.991073	-0.011977		1140.820	-5004.639	1753.601	-0.034059	-0.128340	0.991073	-0.011977		1213.899	-4992.563	1742.468	-0.034059	-0.128340	0.991073	-0.011977		1140.820	-5004.639	1753.601	-0.017016	-0.131688	0.984157	0.117487		994.010	-4959.593	1778.041	-0.039625	-0.126732	0.989607	-0.055197		985.052	-4941.385	1744.433	0.140306	-0.128876	0.953227	-0.234656		901.780	-4887.791	1467.339	0.045111	0.166101	0.945842	-0.275243		884.476	-4902.726	1459.866	0.045111	0.166101	0.945842	-0.275243		874.063	-5016.292	1232.637	0.045111	0.166101	0.945842	-0.275243		1213.899	-4992.563	1742.468	-0.050520	-0.122796	0.981031	-0.141236		1354.392	-4943.197	1787.239	-0.028429	-0.129704	0.990652	0.031266		1347.167	-4923.247	1754.208	-0.150807	-0.189803	0.915111	0.322185		1450.350	-4847.063	1493.471	-0.068058	0.068623	0.926904	0.362640		1465.543	-4862.677	1485.716	-0.068058	0.068623	0.926904	0.362640		1490.008	-4935.235	1253.532	-0.068058	0.068623	0.926904	0.362640		1103.360	-4906.623	1291.502	-0.088237	-0.007343	0.995691	0.027560		1180.616	-4898.379	860.993	-0.046150	-0.069993	0.996192	0.023914		1226.804	-4831.860	383.133	-0.039304	-0.023169	0.998376	0.034118		1225.519	-4780.873	343.136	-0.099470	-0.028361	0.994584	-0.010231		1229.541	-4960.986	331.125	-0.099470	-0.028361	0.994584	-0.010231		1297.014	-4884.249	1284.482	-0.046289	0.068587	0.993666	-0.076038		1341.422	-4938.399	853.181	-0.076721	-0.061099	0.994726	-0.030020		1416.850	-4874.518	356.572	-0.075512	-0.069309	0.994303	-0.029255		1427.447	-4819.955	323.231	-0.028901	-0.077222	0.996595	0.000972		1429.073	-4994.246	294.136	-0.028901	-0.077222	0.996595	0.000972
5	0.03333		1209.844	-4951.794	1377.190	0.012735	0.092401	0.994058	-0.056116		1177.090	-4921.439	1876.075	0.013318	-0.411816	0.911149	-0.006172		1198.716	-4843.529	1398.745	-0.035839	-0.128697	0.990948	-0.013197		1141.002	-5005.192	1753.906	-0.035839	-0.128697	0.990948	-0.013197		1215.416	-4993.026	1743.186	-0.035839	-0.128697	0.990948	-0.013197		1141.002	-5005.192	1753.906	-0.018734	-0.132274	0.984193	0.116261		994.010	-4960.455	1777.812	-0.041419	-0.127011	0.989429	-0.056411		985.145	-4942.241	1744.182	0.139676	-0.131540	0.954090	-0.229999		902.149	-4886.735	1467.382	0.044572	0.167898	0.946785	-0.270966		884.750	-4901.550	1459.895	0.044572	0.167898	0.946785	-0.270966		874.193	-5015.751	1232.991	0.044572	0.167898	0.946785	-0.270966		1215.416	-4993.026	1743.186	-0.052331	-0.122918	0.980748	-0.142429		1355.637	-4943.413	1788.531	-0.030191	-0.130138	0.990581	0.030042		1348.499	-4923.454	1755.485	-0.148874	-0.190328	0.917135	0.316978		1450.303	-4846.102	1494.551	-0.067723	0.068343	0.929096	0.357103		1465.668	-4861.533	1486.768	-0.067723	0.068343	0.929096	0.357103		1490.648	-4933.727	1254.526	-0.067723	0.068343	0.929096	0.357103		1103.558	-4906.065	1291.614	-0.087804	-0.006183	0.995721	0.028126		1180.419	-4898.896	861.004	-0.045894	-0.070224	0.996214	0.022802		1226.290	-4832.096	383.154	-0.038620	-0.020114	0.998483	0.033703		1224.911	-4781.356	342.848	-0.099858	-0.025475	0.994606	-0.011721		1229.370	-4961.527	331.928	-0.099858	-0.025475	0.994606	-0.011721		1297.334	-4884.762	1284.652	-0.046368	0.067453	0.993719	-0.076313		1341.745	-4937.877	853.238	-0.076959	-0.061034	0.994656	-0.031801		1417.300	-4873.920	356.657	-0.076088	-0.066883	0.994364	-0.031258		1427.757	-4819.491	323.055	-0.029463	-0.074745	0.996767	-0.000871		1430.023	-4993.921	294.847	-0.029463	-0.074745	0.996767	-0.000871
6	0.04167		1209.938	-4951.664	1377.385	0.012714	0.092327	0.994050	-0.056378		1177.070	-4920.987	1875.660	0.013232	-0.412175	0.910984	-0.006670		1198.753	-4843.408	1398.957	-0.036066	-0.129042	0.990890	-0.013565		1140.941	-5004.723	1754.151	-0.036066	-0.129042	0.990890	-0.013565		1215.606	-4992.707	1743.891	-0.036066	-0.129042	0.990890	-0.013565		1140.941	-5004.723	1754.151	-0.018914	-0.132646	0.984184	0.115888		993.905	-4960.105	1778.008	-0.041661	-0.127346	0.989355	-0.056776		985.045	-4941.874	1744.386	0.139379	-0.131716	0.954025	-0.230349		902.173	-4886.252	1467.572	0.044137	0.167834	0.946745	-0.271215		884.787	-4901.076	1460.068	0.044137	0.167834	0.946745	-0.271215		874.462	-5015.200	1233.114	0.044137	0.167834	0.946745	-0.271215		1215.606	-4992.707	1743.891	-0.052601	-0.123231	0.980642	-0.142786		1355.768	-4943.026	1789.345	-0.030403	-0.130493	0.990539	0.029672		1348.634	-4923.049	1756.310	-0.148940	-0.191096	0.917109	0.316560		1450.567	-4845.274	1495.552	-0.067934	0.067463	0.929294	0.356716		1465.955	-4860.678	1487.761	-0.067934	0.067463	0.929294	0.356716		1491.226	-4932.507	1255.437	-0.067934	0.067463	0.929294	0.356716		1103.626	-4905.977	1291.818	-0.087647	-0.006017	0.995744	0.027859		1180.345	-4898.923	861.182	-0.045711	-0.069824	0.996254	0.022641		1226.021	-4832.497	383.261	-0.038437	-0.019628	0.998505	0.033553		1224.612	-4781.796	342.907	-0.099614	-0.025006	0.994641	-0.011870		1229.105	-4961.977	332.160	-0.099614	-0.025006	0.994641	-0.011870		1297.391	-4884.571	1284.856	-0.046726	0.067300	0.993681	-0.076721		1342.123	-4937.509	853.455	-0.077273	-0.061120	0.994608	-0.032362		1417.953	-4873.414	356.934	-0.076414	-0.066872	0.994322	-0.031829		1428.375	-4818.976	323.335	-0.029860	-0.074707	0.996757	-0.001492		1430.872	-4993.406	295.148	-0.029860	-0.074707	0.996757	-0.001492
7	0.05000		1209.689	-4951.596	1377.858	0.012668	0.094438	0.994079	-0.052221		1174.441	-4920.399	1876.461	0.014398	-0.414380	0.909872	-0.014672		1199.370	-4843.160	1398.954	-0.038338	-0.129542	0.990717	-0.015163		1140.591	-5004.913	1754.301	-0.038338	-0.129542	0.990717	-0.015163		1216.829	-4994.179	1743.694	-0.038338	-0.129542	0.990717	-0.015163		1140.591	-5004.913	1754.301	-0.021101	-0.133437	0.984220	0.114282		993.322	-4960.704	1777.479	-0.043952	-0.127746	0.989112	-0.058365		984.581	-4942.463	1743.832	0.138007	-0.133777	0.955963	-0.221795		902.723	-4884.885	1467.116	0.043600	0.172330	0.948227	-0.263188		885.158	-4899.502	1459.626	0.043600	0.172330	0.948227	-0.263188		874.481	-5015.374	1233.576	0.043600	0.172330	0.948227	-0.263188		1216.829	-4994.179	1743.694	-0.054918	-0.123429	0.980262	-0.144348		1356.635	-4944.177	1789.885	-0.032650	-0.131091	0.990435	0.028068		1349.611	-4924.186	1756.834	-0.147110	-0.193483	0.919101	0.310124		1450.407	-4844.198	1496.304	-0.067122	0.068140	0.931727	0.350338		1465.975	-4859.404	1488.482	-0.067122	0.068140	0.931727	0.350338		1491.468	-4931.176	1256.165	-0.067122	0.068140	0.931727	0.350338		1103.848	-4905.407	1291.977	-0.087386	-0.005401	0.995741	0.028894		1180.338	-4898.969	861.290	-0.045509	-0.069563	0.996253	0.023882		1225.897	-4832.845	383.315	-0.037900	-0.017506	0.998508	0.035187		1224.609	-4782.304	342.757	-0.100292	-0.022928	0.994629	-0.011334		1228.843	-4962.533	332.738	-0.100292	-0.022928	0.994629	-0.011334		1297.790	-4885.621	1285.140	-0.046744	0.065283	0.993477	-0.080970		1342.601	-4936.546	853.538	-0.076991	-0.060521	0.994546	-0.035891		1417.945	-4872.792	356.899	-0.076405	-0.064357	0.994363	-0.035534		1428.008	-4818.470	323.003	-0.029376	-0.072119	0.996952	-0.004730		1431.603	-4993.030	295.755	-0.029376	-0.072119	0.996952	-0.004730
8	0.05833		1209.762	-4951.400	1377.955	0.012660	0.094435	0.994069	-0.052431		1174.419	-4920.086	1876.303	0.014408	-0.414466	0.909828	-0.014932		1199.398	-4842.968	1399.052	-0.038401	-0.129624	0.990700	-0.015405		1140.567	-5004.632	1754.258	-0.038401	-0.129624	0.990700	-0.015405		1216.874	-4993.747	1744.148	-0.038401	-0.129624	0.990700	-0.015405		1140.567	-5004.632	1754.258	-0.021153	-0.133528	0.984235	0.114039		993.274	-4960.496	1777.415	-0.044018	-0.127826	0.989085	-0.058606		984.530	-4942.254	1743.769	0.137920	-0.133814	0.955914	-0.222038		902.702	-4884.660	1467.047	0.043440	0.172281	0.948187	-0.263389		885.145	-4899.284	1459.551	0.043440	0.172281	0.948187	-0.263389		874.567	-5015.120	1233.478	0.043440	0.172281	0.948187	-0.263389		1216.874	-4993.747	1744.148	-0.054991	-0.123503	0.980213	-0.144586		1356.648	-4943.686	1790.373	-0.032710	-0.131176	0.990429	0.027825		1349.621	-4923.694	1757.324	-0.147125	-0.193695	0.919136	0.309880		1450.438	-4843.576	1496.841	-0.067208	0.067924	0.931823	0.350108		1466.016	-4858.771	1489.019	-0.067208	0.067924	0.931823	0.350108		1491.609	-4930.454	1256.685	-0.067208	0.067924	0.931823	0.350108		1103.900	-4905.255	1292.077	-0.087297	-0.005184	0.995757	0.028639		1180.304	-4898.981	861.373	-0.045400	-0.069198	0.996288	0.023660		1225.736	-4833.194	383.340	-0.037804	-0.017124	0.998526	0.034965		1224.418	-4782.685	342.743	-0.100173	-0.022565	0.994647	-0.011576		1228.725	-4962.920	332.863	-0.100173	-0.022565	0.994647	-0.011576		1297.833	-4885.387	1285.236	-0.047036	0.065125	0.993453	-0.081229		1342.898	-4936.143	853.640	-0.077239	-0.060725	0.994502	-0.036233		1418.460	-4872.151	357.065	-0.076655	-0.064534	0.994320	-0.035880		1428.505	-4817.811	323.192	-0.029655	-0.072282	0.996930	-0.005108		1432.243	-4992.360	295.892	-0.029655	-0.072282	0.996930	-0.005108
9	0.06667		1209.805	-4951.237	1378.009	0.012646	0.094395	0.994059	-0.052696		1174.438	-4919.683	1876.089	0.014446	-0.414606	0.909758	-0.015281		1199.384	-4842.813	1399.116	-0.038460	-0.129761	0.990674	-0.015718		1140.524	-5004.408	1754.188	-0.038460	-0.129761	0.990674	-0.015718		1216.810	-4993.500	1744.453	-0.038460	-0.129761	0.990674	-0.015718		1140.524	-5004.408	1754.188	-0.021194	-0.133671	0.984251	0.113726		993.199	-4960.368	1777.327	-0.044084	-0.127960	0.989046	-0.058918		984.450	-4942.123	1743.684	0.137828	-0.133873	0.955845	-0.222355		902.648	-4884.506	1466.960	0.043246	0.172217	0.948132	-0.263660		885.101	-4899.139	1459.456	0.043246	0.172217	0.948132	-0.263660		874.646	-5014.929	1233.354	0.043246	0.172217	0.948132	-0.263660		1216.810	-4993.500	1744.453	-0.055068	-0.123631	0.980147	-0.144893		1356.544	-4943.364	1790.718	-0.032763	-0.131315	0.990417	0.027511		1349.511	-4923.368	1757.673	-0.147075	-0.193949	0.919190	0.309585		1450.318	-4843.081	1497.238	-0.067240	0.067688	0.931948	0.349815		1465.908	-4858.263	1489.413	-0.067240	0.067688	0.931948	0.349815		1491.588	-4929.837	1257.055	-0.067240	0.067688	0.931948	0.349815		1103.917	-4905.140	1292.139	-0.087252	-0.005037	0.995771	0.028329		1180.275	-4898.967	861.426	-0.045332	-0.068903	0.996319	0.023372		1225.617	-4833.448	383.347	-0.037752	-0.016813	0.998544	0.034678		1224.266	-4782.966	342.718	-0.100105	-0.022275	0.994657	-0.011881		1228.671	-4963.205	332.952	-0.100105	-0.022275	0.994657	-0.011881		1297.839	-4885.169	1285.294	-0.047309	0.064931	0.993425	-0.081567		1343.144	-4935.722	853.699	-0.077460	-0.060945	0.994455	-0.036660		1418.891	-4871.470	357.186	-0.076884	-0.064695	0.994276	-0.036313		1428.906	-4817.113	323.333	-0.029925	-0.072424	0.996909	-0.005583		1432.820	-4991.651	295.989	-0.029925	-0.072424	0.996909	-0.005583
10	0.07500		1208.658	-4951.413	1378.743	0.011903	0.098530	0.993974	-0.046534		1171.521	-4918.864	1877.518	0.016401	-0.418366	0.907818	-0.023827		1199.476	-4842.700	1398.916	-0.039406	-0.130367	0.990515	-0.018197		1140.150	-5004.025	1754.211	-0.039406	-0.130367	0.990515	-0.018197		1217.765	-4995.042	1743.843	-0.039406	-0.130367	0.990515	-0.018197		1140.150	-5004.025	1754.211	-0.022052	-0.134395	0.984416	0.111247		992.561	-4960.705	1777.028	-0.045055	-0.128524	0.988779	-0.061387		983.811	-4942.465	1743.382	0.136410	-0.134713	0.957212	-0.216770		903.037	-4883.790	1466.578	0.042772	0.174702	0.949209	-0.258172		885.368	-4898.270	1459.068	0.042772	0.174702	0.949209	-0.258172		874.628	-5014.980	1233.452	0.042772	0.174702	0.949209	-0.258172		1217.765	-4995.042	1743.843	-0.056085	-0.124108	0.979666	-0.147330		1357.144	-4944.298	1790.513	-0.033682	-0.131962	0.990366	0.025028		1350.100	-4924.299	1757.471	-0.145885	-0.196150	0.921285	0.302451		1449.989	-4841.967	1497.322	-0.066644	0.070607	0.934249	0.343150		1465.750	-4856.980	1489.513	-0.066644	0.070607	0.934249	0.343150		1491.393	-4929.509	1257.447	-0.066644	0.070607	0.934249	0.343150		1103.591	-4904.768	1292.162	-0.087488	-0.005031	0.995786	0.027020		1180.141	-4898.487	861.490	-0.045351	-0.068187	0.996355	0.023905		1225.522	-4833.682	383.318	-0.037740	-0.016038	0.998538	0.035230		1224.226	-4783.259	342.613	-0.101627	-0.021604	0.994509	-0.012554		1228.866	-4963.507	333.118	-0.101627	-0.021604	0.994509	-0.012554		1297.759	-4887.180	1285.757	-0.047698	0.061219	0.992576	-0.093651		1343.653	-4933.781	853.851	-0.076652	-0.059147	0.994426	-0.041760		1418.345	-4870.975	356.992	-0.076187	-0.062085	0.994294	-0.041485		1427.800	-4816.726	322.806	-0.028933	-0.069617	0.997100	-0.010396		1433.352	-4991.378	296.491	-0.028933	-0.069617	0.997100	-0.010396
